Titile,Total Kill Count,Male Kill Count,Female Kill Count,Other/Unknown,Runtime (min),Year
A Bucket Of Blood,4,3,1,0,65,1959
Pontypool,28,12,15,1,96,2008
M3GAN,7,4,2,1,102,2022
Wrong Turn III: Left For Dead,15,12,2,0,92,2009
Wes Craven's New Nightmare,5,4,1,0,112,1994
Friday the 13th Part 2,9,5,4,0,87,1981
The Banana Splits Movie,27,8,1,18,90,2019
Black Christmas (2019),27,22,5,0,92,2019
IT: Chapter Two,8,6,1,1,169,2019
Red Dragon,9,6,3,0,125,2002
Basket Case 2,6,5,1,0,90,1990
Jason Goes to Hell: The Final Friday,24,17,7,0,90,1993
The Invisible Man Remake,5,4,1,0,124,2020
Friday the 13th: A New Beginning,22,15,7,0,90,1985
Re-Animator,8,6,2,0,86,1985
The Rage: Carrie 2,27,13,13,1,105,1999
Black Friday,26,13,12,1,84,2021
Society,2,2,0,0,99,1989
Tremors: A Cold Day in Hell,10,7,3,0,98,2018
The Collector,8,3,5,0,88,2009
Mayhem,21,14,7,0,88,2017
The Shining,2,2,0,0,144,1980
Terrifier 3,23,15,7,1,125,2024
Freddy vs. Jason,22,18,4,0,97,2003
Immaculate,8,2,5,1,89,2024
Jigsaw,16,10,4,2,92,2017
House Of 1000 Corpses,14,7,7,0,89,2003
Tremors 2: Aftershocks,3,3,0,0,100,1996
Hello Mary Lou: Prom Night II,7,2,5,0,97,1987
Orphan: First Kill,7,5,2,0,99,2022
Never Hike Alone 2,12,7,5,0,73,2023
Puppet Master,7,4,3,0,89,1989
Happy Death Day,19,6,13,0,96,2017
Terror Train,10,9,1,0,97,1980
The Mouse Trap,10,6,4,0,80,2024
Ice Cream Man,9,7,2,0,86,1995
V/H/S,22,19,3,0,116,2012
Final Destination 2,27,8,4,15,90,2003
Friday the 13th Part VII: The New Blood,16,8,8,0,85,1988
A Nightmare on Elm Street,4,2,2,0,91,1984
Hannibal Rising,62,52,6,4,121,2007
Behind the Mask: The Rise of Leslie Vernon,10,6,4,0,91,2006
[•REC 3: Genesis],161,58,30,78,80,2012
The Prowler,8,4,4,0,88,1981
A Quiet Place,4,3,1,0,90,2018
Slither,127,52,37,38,95,2006
Pilgrim,14,10,4,0,80,2019
Deep Rising,460,13,3,444,106,1998
Seed of Chucky,14,9,5,0,86,2004
Halloween II,10,5,5,0,92,1981
Don't Breathe 2,11,9,2,0,98,2021
Never Hike Alone,2,1,1,0,54,2017
Scream VI,13,10,3,0,123,2023
President's Day,20,10,10,0,82,2010
Predator 2,45,43,1,1,108,1990
Suspiria,9,2,7,0,99,2018
Candyman: Farewell To The Flesh,9,8,1,0,95,1995
Alien 3,29,27,2,0,115,1992
Abigail,47,5,1,41,113,2024
V/H/S/94,53,43,9,1,103,2021
Spree,12,8,4,0,93,2020
The Blair Witch Project,3,2,1,0,81,1999
Blood Rage,11,7,4,0,82,1987
Scream 2,10,6,4,0,120,1997
28 Weeks Later,237,132,38,67,100,2007
Leprechaun In The Hood,10,9,1,0,91,2000
Hellraiser,7,6,1,0,93,1987
Halloween III: Season Of The Witch,28,5,3,20,98,1982
Jack Frost,10,8,2,0,90,1997
Sleepaway Camp III: Teenage Wasteland,16,9,7,0,79,1989
Wrong Turn (2021),15,13,2,0,110,2021
Hostel,23,15,8,0,93,2005
Leprechaun,4,3,1,0,91,1993
Home Sweet Home,9,5,4,0,83,1981
Candyman 3: Day Of The Dead,16,9,7,0,93,1999
Slugs,11,8,3,0,89,1988
Def by Temptation,17,15,2,0,95,1990
Leatherface,21,15,6,0,88,2017
Wrong Turn VI: Last Resort,11,7,4,0,91,2014
Halloween (2007),22,15,7,0,110,2007
Halloween (2018),18,14,4,0,106,2018
Smile,5,2,3,0,115,2022
The Mutilator,8,5,3,0,86,1984
Too Many Cooks,16,8,8,0,11,2014
Llamageddon,20,11,9,0,69,2015
Slumber Party Massacre II,7,4,3,0,75,1987
Critters 2,5,4,0,1,94,1988
The Purge: Anarchy,65,54,6,5,103,2014
[•REC 2],13,13,0,0,84,2009
[•REC 4: Apocalypse],41,40,1,0,95,2014
Sinister,20,10,10,0,110,2012
Leprechaun 3,8,6,1,1,90,1995
IT: Chapter One,3,3,0,0,135,2017
Beetlejuice,2,1,1,0,92,1988
Hellbound: Hellraiser II,30,18,11,1,99,1988
The Lost World: Jurassic Park,15,15,0,0,129,1997
Sleepaway Camp,12,9,3,0,85,1983
The Cabin In The Woods,56,42,8,6,95,2011
Bones and All,7,5,2,0,131,2022
Bloody New Year,10,6,4,0,94,1987